Температура,Время (с),Высота (м),Скорость (км/ч),Уровень заряда (мАч),Уровень сигнала (дБ),Широта,Долгота,ID миссии
3.9199876586134117,0,50.0,20.0,980.4000617069329,78.14496693553714,55.766431670468,37.63308033659589,9945
-8.075056418230828,10,50.450450450450454,20.08008008008008,1039.375282091154,76.94322025573382,55.789595585414624,37.68880498802328,7204
-7.3282516622896985,20,50.9009009009009,20.16016016016016,1034.6412583114484,63.63660424241555,55.764340729810044,37.66096212528604,5893
13.747593802691071,30,51.351351351351354,20.24024024024024,928.2620309865447,77.84924952171838,55.78983110451514,37.61282328803864,5813
34.251036061457505,40,51.8018018018018,20.32032032032032,824.7448196927124,76.42538337694084,55.78141452110165,37.65317820946835,4425
36.58736584641694,50,52.252252252252255,20.4004004004004,812.0631707679154,62.816966062948396,55.77683051354653,37.66244571711667,6968
7.154296086609982,60,52.7027027027027,20.48048048048048,958.2285195669501,64.03610353668608,55.757077983399554,37.67111259438557,1762
11.424787378033297,70,53.153153153153156,20.56056056056056,935.8760631098335,73.93609428559505,55.75663077788651,37.6540639329338,8315
13.72110034885457,80,53.6036036036036,20.64064064064064,923.3944982557272,67.5250422061931,55.751770959439945,37.65028626671987,4564
2.557043495800709,90,54.054054054054056,20.72072072072072,978.2147825209964,72.00697388179356,55.77729328299008,37.659736341894515,7755
13.571520848520883,100,54.5045045045045,20.8008008008008,922.1423957573955,72.81848809003432,55.78938333426752,37.67980961819559,8246
39.94899382404879,110,54.95495495495496,20.88088088088088,789.2550308797561,73.43721581834977,55.75733927166624,37.69612364630248,1668
9.368315063613103,120,55.4054054054054,20.96096096096096,941.1584246819344,75.56262054408796,55.761891311302286,37.64763145233684,5473
36.38602869565158,130,55.85585585585586,21.04104104104104,805.069856521742,77.15177070851581,55.770253812241315,37.62818610858346,5280
39.35762810725391,140,56.306306306306304,21.12112112112112,789.2118594637304,64.08056793484226,55.79919242715526,37.635248459637054,4997
