ID миссии,Температура,Время (с),Высота (м),Скорость (км/ч),Уровень заряда (мАч),Уровень сигнала (дБ),Широта,Долгота
1000,-3.078797892965156,0,50.0,20.0,1015.3939894648258,72.24477796923074,55.77384564901839,37.67251648346924
1000,-16.935634318974923,10,50.450450450450454,20.08008008008008,1083.6781715948746,78.3246460234149,55.75658096875918,37.65099306161154
1000,-8.098276584200441,20,50.9009009009009,20.16016016016016,1038.4913829210022,61.941590243384134,55.78766892947908,37.66739225501952
1000,-8.88651139563272,30,51.351351351351354,20.24024024024024,1041.4325569781636,75.3284173521975,55.7707208653351,37.6920272073683
1000,32.30533566733904,40,51.8018018018018,20.32032032032032,834.4733216633049,61.420290080449114,55.77117292440456,37.610453177033946
1000,-7.916072495219799,50,52.252252252252255,20.4004004004004,1034.580362476099,71.31899152577256,55.753541408720785,37.638795669403116
1000,18.34340486644652,60,52.7027027027027,20.48048048048048,902.2829756677675,77.81955005297861,55.75539328522086,37.63554787452636
1000,39.32916998639904,70,53.153153153153156,20.56056056056056,796.3541500680049,66.35575993101399,55.764472512576134,37.66518772786111
1000,-10.3012453961374,80,53.6036036036036,20.64064064064064,1043.506226980687,63.1639991565221,55.781289256906575,37.630521573201555
1000,30.190001242933995,90,54.054054054054056,20.72072072072072,840.04999378533,66.2690851165761,55.76232459384735,37.627794472417214
1001,-17.04317699944522,0,54.5045045045045,20.8008008008008,1085.215884997226,62.29662310299528,55.78276367827906,37.63955072834407
1001,9.273816888285303,10,54.95495495495496,20.88088088088088,952.6309155585735,65.32514059224349,55.784752045316765,37.67343271085192
1001,12.77150229579042,20,55.4054054054054,20.96096096096096,934.1424885210479,78.5193611690972,55.779008250455995,37.634900394591384
1001,-10.803746602887248,30,55.85585585585586,21.04104104104104,1051.0187330144363,64.39898545602657,55.766044326417514,37.64731043408416
1001,5.720148358437452,40,56.306306306306304,21.12112112112112,967.3992582078127,62.87933301794005,55.76574557198306,37.64265532582437
1001,-13.767990554999292,50,56.75675675675676,21.2012012012012,1063.8399527749964,79.63263271056285,55.770675995161554,37.65169954428076
1001,26.359858030648113,60,57.207207207207205,21.28128128128128,862.2007098467594,68.88658753713956,55.793990961062036,37.688319046437265
1001,16.753371839197996,70,57.65765765765766,21.36136136136136,909.23314080401,62.03890824632998,55.78329690468272,37.668644195375876
1001,24.29904302107034,80,58.10810810810811,21.44144144144144,870.5047848946483,73.17580878798653,55.787984483003996,37.689334860579784
1001,-19.75476859822232,90,58.55855855855856,21.52152152152152,1089.7738429911117,78.13800992351423,55.79538263117182,37.640956650426894
1002,-6.467434415622201,0,59.009009009009006,21.6016016016016,1032.337172078111,75.79804852550384,55.751741177204416,37.652948297709514
1002,4.452142920036124,10,59.45945945945946,21.68168168168168,976.7392853998194,66.45027035434012,55.76246072642462,37.6186342746507
1002,-6.994442007809614,20,59.90990990990991,21.76176176176176,1032.9722100390482,74.48361051569574,55.754434705492855,37.6978351019833
1002,-7.105836151156822,30,60.36036036036036,21.84184184184184,1032.5291807557842,63.275249158197006,55.787642179181994,37.64218290871797
1002,-18.22783066118432,40,60.81081081081081,21.92192192192192,1087.1391533059216,66.19731356383109,55.79727983063705,37.67966691291157
1002,29.825560412639298,50,61.26126126126126,22.002002002002,845.8721979368036,76.5970807798914,55.75307627045174,37.694420006418206
1002,3.5988162016905996,60,61.711711711711715,22.08208208208208,976.005918991547,61.916123946365,55.7778949256087,37.625859443373045
1002,3.690105634290923,70,62.16216216216216,22.16216216216216,974.5494718285454,78.47634554920948,55.78399499027887,37.697871454137
1002,-2.8447589903245394,80,62.612612612612615,22.24224224224224,1006.2237949516227,62.64821592567541,55.79273379971902,37.66281099674466
1002,17.69440210214936,90,63.06306306306306,22.32232232232232,902.5279894892532,61.69982677955245,55.79807559738939,37.651658027102634
1003,-13.618840243300328,0,63.513513513513516,22.4024024024024,1068.0942012165017,73.36205541097094,55.7534401137693,37.657189163859584
1003,-7.485803724718984,10,63.96396396396396,22.48248248248248,1036.4290186235949,62.96043119911256,55.78830219803427,37.68460178946063
1003,-2.959041216155299,20,64.41441441441441,22.56256256256256,1012.7952060807766,72.93753243720994,55.76458533849625,37.66444494252628
1003,0.478123785179708,30,64.86486486486487,22.64264264264264,994.6093810741014,69.37220621530098,55.79298172110144,37.68283408230238
1003,-9.296499951571455,40,65.31531531531532,22.72272272272272,1042.4824997578573,73.58321867169494,55.79125140520791,37.699008277212094
1003,2.844080968567013,50,65.76576576576576,22.802802802802802,980.779595157165,70.93252382638357,55.7753692194161,37.64455997463484
1003,38.6513953135817,60,66.21621621621622,22.882882882882882,800.7430234320915,71.43313524049185,55.78939298798442,37.63755820245789
1003,-16.35145091253421,70,66.66666666666667,22.962962962962962,1074.757254562671,77.02109501263476,55.78031376465803,37.69192217757092
1003,23.10272625182727,80,67.11711711711712,23.043043043043042,876.4863687408637,61.34479235835213,55.750659220871746,37.649349269729534
1003,25.394679573191695,90,67.56756756756756,23.123123123123122,864.0266021340415,76.77424080971286,55.79705081488802,37.63039012958439
1004,33.626572813631526,0,68.01801801801801,23.203203203203202,831.8671359318423,60.57768200115654,55.77658764325232,37.66992043856771
1004,12.683726477844651,10,68.46846846846847,23.283283283283282,935.5813676107767,66.82508847261002,55.79105226783095,37.63937623889749
1004,12.911039138108869,20,68.91891891891892,23.363363363363362,933.4448043094557,67.96056789337814,55.77881403751785,37.610378572060114
1004,12.979444954102078,30,69.36936936936937,23.443443443443442,932.1027752294896,61.688424930337256,55.79629073913751,37.64255681536065
1004,32.06774973572296,40,69.81981981981983,23.523523523523522,835.6612513213852,72.14661390959965,55.75241822084982,37.64169866381664
1004,38.35101705574634,50,70.27027027027027,23.603603603603602,803.2449147212683,60.700720466205844,55.785289076151685,37.67221184459153
1004,33.73550388720324,60,70.72072072072072,23.683683683683682,825.3224805639838,77.70844886637492,55.77986507969691,37.666017600787825
1004,24.999290853599327,70,71.17117117117117,23.763763763763762,868.0035457320034,70.72990643436924,55.776172873163915,37.69018802776075
1004,-13.914886682794204,80,71.62162162162161,23.843843843843842,1061.574433413971,72.68098961288244,55.78470436241213,37.61960406821998
1004,26.386285092527935,90,72.07207207207207,23.923923923923923,859.0685745373603,70.26989935712452,55.79743388366761,37.64705185861781
1005,35.735775002177064,0,72.52252252252252,24.004004004004003,821.3211249891147,70.14763456737772,55.75343690939361,37.68930252185465
1005,-14.75549902242863,10,72.97297297297297,24.084084084084083,1072.7774951121432,72.28281198448033,55.75715888877531,37.675880286919565
1005,0.26515712074792575,20,73.42342342342343,24.164164164164163,996.6742143962604,78.13062100398287,55.75685217233984,37.691593405308744
1005,-13.898335399410824,30,73.87387387387388,24.244244244244243,1066.4916769970541,68.53824700264141,55.77394998317479,37.6896361059922
1005,-3.8679959255942116,40,74.32432432432432,24.324324324324323,1015.339979627971,77.889477339276,55.79604323621051,37.619258561045626
1005,30.0599681258702,50,74.77477477477478,24.404404404404403,844.700159370649,71.0643329225975,55.76309392059056,37.62736836150437
1005,-9.954551434453407,60,75.22522522522523,24.484484484484483,1043.7727571722671,60.30183733505727,55.762009715932734,37.63340214700169
1005,-6.010305073670635,70,75.67567567567568,24.564564564564563,1023.0515253683532,79.01153868519044,55.791891358879674,37.68099876884829
1005,8.361112483618573,80,76.12612612612612,24.644644644644643,950.1944375819071,78.14897841579858,55.783294088906544,37.67073958346522
1005,-1.1387214332824058,90,76.57657657657657,24.724724724724723,996.693607166412,67.76659879286265,55.758668212413745,37.69466070924403
1006,8.40911254027446,0,77.02702702702703,24.804804804804803,957.9544372986277,69.39920789365854,55.76742381581303,37.66362872695148
1006,36.01658789822267,10,77.47747747747748,24.884884884884883,818.9170605088866,68.78418645623204,55.7620286318981,37.6787505315157
1006,-0.4405114372041439,20,77.92792792792793,24.964964964964963,1000.2025571860207,75.33786406014175,55.76864978998469,37.63951742225311
1006,6.145105405478311,30,78.37837837837839,25.045045045045043,966.2744729726085,60.743822959144204,55.790297844748,37.681207136528386
1006,1.7453291324910118,40,78.82882882882883,25.125125125125123,987.2733543375449,70.06037055408169,55.76276703045625,37.646788715590056
1006,28.460854622773333,50,79.27927927927928,25.205205205205203,852.6957268861333,65.44208280328957,55.76612653899637,37.697894332274366
1006,27.969865819869497,60,79.72972972972973,25.285285285285283,854.1506709006526,75.58532008243347,55.78553251372837,37.68162771340062
1006,-19.61726703482197,70,80.18018018018017,25.365365365365363,1091.0863351741098,66.74622386334205,55.79686097766344,37.636109307260185
1006,39.677177182052574,80,80.63063063063063,25.445445445445444,793.6141140897371,69.94349800982157,55.76424054848796,37.66911484492087
1006,27.00809729420692,90,81.08108108108108,25.525525525525524,855.9595135289654,60.013036866079716,55.78981753425954,37.61976267118038
1007,11.15218509929884,0,81.53153153153153,25.605605605605604,944.2390745035058,66.17139464589388,55.774219675952985,37.650523440839514
1007,-1.8527870485125106,10,81.98198198198199,25.685685685685684,1008.2639352425625,76.60684081334458,55.75656943835391,37.62237097860835
